,CAPT.,CODE,NAME,SECT.,STOCK NO.
12,"9,275,667,700",003380,하림지주,기타 금융업,"92,341,820"
30,"15,082,800,000",007330,푸른저축은행,은행 및 저축기관,"15,082,800"
71,"30,026,130,000",014470,부방,기타 금융업,"60,052,260"
80,"83,950,961,500",016600,큐캐피탈,기타 금융업,"167,901,923"
113,"49,592,204,000",021880,메이슨캐피탈,기타 금융업,"99,184,408"
121,"157,804,788,000",023760,한국캐피탈,기타 금융업,"315,609,576"
153,"59,357,025,000",027360,아주IB투자,기타 금융업,"118,714,050"
158,"6,288,753,000",028080,휴맥스홀딩스,기타 금융업,"12,577,506"
166,"38,618,990,500",030530,원익홀딩스,기타 금융업,"77,237,981"
212,"9,059,487,500",034810,해성산업,부동산 임대 및 공급업,"18,118,975"
220,"13,672,998,500",035610,솔본,회사 본부 및 경영 컨설팅 서비스업,"27,345,997"
306,"42,000,000,000",041190,우리기술투자,기타 금융업,"84,000,000"
320,"11,176,936,500",042370,비츠로테크,기타 금융업,"22,353,873"
465,"10,197,110,500",054620,APS홀딩스,기타 금융업,"20,394,221"
525,"17,073,864,000",063570,한국전자금융,금융 지원 서비스업,"34,147,728"
636,"277,405,950,000",078020,이베스트투자증권,금융 지원 서비스업,"55,481,190"
812,"46,500,823,000",100790,미래에셋벤처투자,기타 금융업,"46,000,823"
1046,"31,940,000,000",190650,코리아에셋투자증권,기타 금융업,"6,388,000"
1080,"19,397,669,500",204620,글로벌텍스프리,금융 지원 서비스업,"38,795,339"
1276,"601,000,000",277480,신한제4호스팩,금융 지원 서비스업,"6,010,000"
1286,"423,500,000",287410,유안타제3호스팩,금융 지원 서비스업,"4,235,000"
1290,"26,617,000,000",289080,SV인베스트먼트,기타 금융업,"53,234,000"
1302,"506,000,000",291210,한국제7호스팩,금융 지원 서비스업,"5,060,000"
1303,"755,000,000",291230,삼성스팩2호,금융 지원 서비스업,"7,550,000"
1304,"47,400,000,000",293580,나우IB,기타 금융업,"9,480,000"
1314,"433,000,000",299170,IBKS제10호스팩,금융 지원 서비스업,"4,330,000"
1327,"516,000,000",307070,SK4호스팩,금융 지원 서비스업,"5,160,000"
1328,"459,000,000",307160,하나머스트제6호스팩,금융 지원 서비스업,"4,590,000"
1330,"372,000,000",307280,교보8호스팩,금융 지원 서비스업,"3,720,000"
1331,"501,000,000",307750,대신밸런스제6호스팩,금융 지원 서비스업,"5,010,000"
1332,"475,000,000",307870,상상인이안1호스팩,금융 지원 서비스업,"4,750,000"
1333,"9,755,000,000",307930,컴퍼니케이,기타 금융업,"15,610,000"
1335,"459,000,000",309930,삼성머스트스팩3호,금융 지원 서비스업,"4,590,000"
1337,"342,000,000",310840,엔에이치스팩13호,금융 지원 서비스업,"3,420,000"
1338,"342,000,000",310870,한국제8호스팩,금융 지원 서비스업,"3,420,000"
1339,"360,000,000",311270,키움제5호스팩,금융 지원 서비스업,"3,600,000"
1343,"465,000,000",313750,유안타제4호스팩,금융 지원 서비스업,"4,650,000"
1345,"546,100,000",317030,케이비17호스팩,금융 지원 서비스업,"5,461,000"
1347,"440,000,000",317240,하이제4호스팩,금융 지원 서비스업,"4,400,000"
