,CAPT.,CODE,NAME,SECT.,STOCK NO.
3,"56,840,000,000",000060,메리츠화재,보험업,"113,680,000"
4,"44,341,645,000",000070,삼양홀딩스,기타 금융업,"8,564,271"
8,"118,387,875,000",000140,하이트진로홀딩스,기타 금융업,"23,206,765"
9,"123,738,105,000",000150,두산,회사 본부 및 경영 컨설팅 서비스업,"16,523,835"
10,"36,000,000,000",000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"69,751,600"
14,"46,510,086,500",000240,한국테크놀로지그룹,기타 금융업,"93,020,173"
17,"8,500,200,500",000320,노루홀딩스,기타 금융업,"13,291,151"
18,"583,694,575,000",000370,한화손해보험,보험업,"116,738,915"
20,"310,336,320,000",000400,롯데손해보험,보험업,"310,336,320"
26,"325,821,225,000",000540,흥국화재,보험업,"64,242,645"
27,"5,772,410,000",000590,CS홀딩스,기타 금융업,"1,154,482"
28,"30,691,485,000",000640,동아쏘시오홀딩스,기타 금융업,"6,138,297"
33,"65,104,530,000",000700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,"26,041,812"
36,"26,473,418,500",000810,삼성화재해상보험,보험업,"47,374,837"
46,"179,047,370,000",001040,CJ,기타 금융업,"29,176,998"
53,"537,592,090,000",001200,유진증권,금융 지원 서비스업,"96,866,418"
58,"66,849,430,000",001270,부국증권,금융 지원 서비스업,"10,369,886"
59,"97,411,913,000",001290,상상인증권,금융 지원 서비스업,"96,108,437"
67,"44,700,000,000",001450,현대해상,보험업,"89,400,000"
70,"146,685,555,000",001500,현대차증권,금융 지원 서비스업,"29,337,111"
71,"238,251,342,500",001510,SK증권,금융 지원 서비스업,"472,590,171"
80,"82,200,000,000",001720,신영증권,금융 지원 서비스업,"9,386,237"
82,"66,267,670,000",001750,한양증권,금융 지원 서비스업,"12,728,534"
86,"31,322,711,000",001800,오리온홀딩스,기타 금융업,"62,645,422"
90,"68,514,080,000",002020,코오롱,기타 금융업,"12,626,426"
91,"10,955,120,000",002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"2,191,024"
113,"7,986,677,500",002620,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"15,973,355"
133,"20,708,285,000",003030,세아제강지주,기타 금융업,"4,141,657"
137,"29,070,990,000",003090,대웅,기타 금융업,"58,141,980"
148,"74,178,840,000",003460,유화증권,금융 지원 서비스업,"56,702,415"
149,"1,062,543,940,000",003470,유안타증권,금융 지원 서비스업,"199,596,576"
153,"1,096,738,875,000",003530,한화투자증권,금융 지원 서비스업,"214,547,775"
154,"434,867,000,000",003540,대신증권,금융 지원 서비스업,"50,773,400"
155,"879,359,040,000",003550,LG,기타 금융업,"172,557,131"
178,"42,008,577,000",004150,한솔홀딩스,기타 금융업,"42,008,577"
198,"105,355,125,000",004800,효성,기타 금융업,"21,071,025"
200,"9,965,000,000",004840,DRB동일,기타 금융업,"19,930,000"
208,"21,179,372,000",004990,롯데지주,기타 금융업,"104,909,237"
216,"25,744,900,000",005250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업,"47,028,210"
231,"7,724,036,500",005740,크라운해태홀딩스,기타 금융업,"14,847,347"
234,"45,175,835,000",005810,풍산홀딩스,기타 금융업,"7,835,167"
236,"35,400,000,000",005830,DB손해보험,보험업,"70,800,000"
241,"1,531,275,030,000",005940,NH투자증권,금융 지원 서비스업,"281,408,887"
248,"111,677,150,000",006120,SK디스커버리,기타 금융업,"19,037,855"
249,"23,401,568,000",006200,한국전자홀딩스,기타 금융업,"46,803,136"
250,"160,643,870,000",006220,제주은행,은행 및 저축기관,"32,128,774"
251,"161,000,000,000",006260,LS,기타 금융업,"32,200,000"
264,"4,101,960,790,000",006800,미래에셋대우,금융 지원 서비스업,"645,316,408"
265,"66,237,805,000",006840,AK홀딩스,기타 금융업,"13,247,561"
278,"2,875,800,000",007540,샘표,기타 금융업,"2,875,800"
287,"11,739,922,000",007860,서연,기타 금융업,"23,479,844"
