CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
250,삼천당제약,의약품 제조업,"22,569,369","11,284,684,500",,,,146.39,388,N/A,N/A,7.72,7357,0.09
440,중앙에너비스,기타 전문 도매업,"6,227,130","3,113,565,000",,,,75.91,110,N/A,N/A,0.87,9562,1.92
1000,신라섬유,가전제품 및 정보통신장비 소매업,"24,277,540","2,427,754,000",,,,250.56,9,N/A,N/A,3.73,605,N/A
1540,안국약품,의약품 제조업,"13,042,420","6,521,210,000",,,,60.35,256,N/A,N/A,1.2,12917,1.42
1810,무림SP,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000",,,,N/A,-87,N/A,N/A,0.21,9220,1.79
1840,이화공영,건물 건설업,"19,805,760","9,902,880,000",,,,N/A,-25,N/A,N/A,2.25,2105,0.21
2230,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","19,669,243","9,834,621,500",,,,N/A,-119,N/A,N/A,0.51,7517,3.88
2290,삼일기업공사,건물 건설업,"12,400,000","6,200,000,000",,,,10.92,266,N/A,N/A,0.61,4725,3.44
2680,한탑,"곡물가공품, 전분 및 전분제품 제조업","22,299,452","11,149,726,000",,,,N/A,-529,N/A,N/A,1.16,1579,N/A
2800,신신제약,의약품 제조업,"15,170,500","7,585,250,000",,,,72.85,137,N/A,N/A,2.67,3740,0.28
3100,선광,기타 운송관련 서비스업,"6,600,000","6,600,000,000",,,,17.4,951,N/A,N/A,0.33,50719,2.12
3310,대주산업,동물용 사료 및 조제식품 제조업,"35,392,350","18,696,175,000",,,,38.1,50,N/A,N/A,1.31,1455,1.58
3800,에이스침대,가구 제조업,"11,090,000","11,090,000,000",,,,11.76,3621,N/A,N/A,0.94,45456,2.58
4590,한국가구,생활용품 도매업,"15,000,000","1,500,000,000",,,,10.53,425,N/A,N/A,0.65,6925,2.57
4650,창해에탄올,알코올음료 제조업,"9,190,885","4,595,442,500",,,,6.28,2309,N/A,N/A,0.9,16134,4.14
4780,대륙제관,기타 금속 가공제품 제조업,"15,903,199","7,951,599,500",,,,11.98,381,N/A,N/A,0.68,6702,2.19
5160,동국산업,1차 철강 제조업,"54,244,482","54,244,482,000",,,,11.71,310,N/A,N/A,0.49,7410,3.58
5290,동진쎄미켐,기초 화학물질 제조업,"51,414,494","25,707,247,000",,,,29.62,1271,N/A,N/A,5.03,7492,0.24
5670,푸드웰,"과실, 채소 가공 및 저장 처리업","10,000,000","5,000,000,000",,,,1.74,3050,N/A,N/A,0.66,7997,1.89
5710,대원산업,자동차 신품 부품 제조업,"20,037,600","10,018,800,000",,,,4.49,1190,N/A,N/A,0.36,14971,2.34
5860,한일사료,동물용 사료 및 조제식품 제조업,"39,403,685","19,701,842,500",,,,N/A,-87,N/A,N/A,1.25,1478,1.36
5990,매일홀딩스,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000",,,,5.1,1585,N/A,N/A,0.36,22582,1.73
6050,국영지앤엠,유리 및 유리제품 제조업,"34,895,243","17,447,621,500",,,,84.64,28,N/A,N/A,1.52,1557,0.63
6140,피제이전자,의료용 기기 제조업,"15,000,000","7,500,000,000",,,,13.4,360,N/A,N/A,0.68,7097,2.9
6580,대양제지,"펄프, 종이 및 판지 제조업","26,850,000","13,425,000,000",,,,3.45,848,N/A,N/A,0.46,6313,1.37
6620,동구바이오제약,의약품 제조업,"9,604,000","4,802,000,000",,,,17.29,1489,N/A,N/A,2.82,9135,0.39
6730,서부T&D,일반 및 생활 숙박시설 운영업,"58,140,444","29,070,222,000",,,,N/A,-38,N/A,N/A,0.6,11786,N/A
6910,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","46,073,059","23,036,529,500",,,,26.93,70,N/A,N/A,1.05,1795,N/A
6920,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000",,,,54.49,88,N/A,N/A,2.4,1997,N/A
7370,진양제약,의약품 제조업,"12,000,000","6,000,000,000",,,,121.33,60,N/A,N/A,1.9,3837,1.37
7390,네이처셀,기초 의약물질 및 생물학적 제제 제조업,"61,190,399","30,595,199,500",,,,N/A,-17,N/A,N/A,7.53,1318,N/A
7530,영신금속,기타 금속 가공제품 제조업,"12,832,968","6,416,484,000",,,,4.91,389,N/A,N/A,0.59,3246,N/A
7680,대원,건물 건설업,"11,587,630","5,793,815,000",,,,15.14,667,N/A,N/A,0.41,24779,2.47
7720,대명소노시즌,상품 종합 도매업,"100,800,450","50,400,225,000",,,,2.14,596,N/A,N/A,0.79,1611,N/A
7770,한일화학,기초 화학물질 제조업,"3,510,000","1,755,000,000",,,,23.64,412,N/A,N/A,0.37,26580,1.54
7820,에스엠코어,일반 목적용 기계 제조업,"20,033,946","10,016,973,000",,,,25.65,308,N/A,N/A,1.98,3993,0.89
8290,원풍물산,봉제의복 제조업,"40,693,679","20,346,839,500",,,,N/A,-155,N/A,N/A,1.83,1083,N/A
8370,원풍,플라스틱제품 제조업,"12,000,000","6,000,000,000",,,,15.39,271,N/A,N/A,0.64,6515,3.6
8470,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","8,404,800","4,202,400,000",,,,14.6,310,N/A,N/A,0.52,8694,1.99
8800,행남사,기타 식품 제조업,"45,628,344","22,814,172,000",,,,N/A,-1125,N/A,N/A,2.71,654,N/A
8830,대동기어,특수 목적용 기계 제조업,"8,987,520","4,493,760,000",,,,N/A,-64,N/A,N/A,0.43,6346,0.92
9300,삼아제약,의약품 제조업,"6,370,000","6,370,000,000",,,,13.64,1433,N/A,N/A,0.71,27362,1.53
9520,포스코엠텍,1차 철강 제조업,"41,642,703","20,821,351,500",,,,17.8,259,N/A,N/A,2.12,2177,1.74
9620,삼보산업,1차 비철금속 제조업,"38,092,246","3,809,224,600",,,,N/A,-307,N/A,N/A,1.08,632,N/A
9730,코센,1차 철강 제조업,"120,066,527","60,033,263,500",,,,N/A,-4005,N/A,N/A,0.24,944,N/A
9780,엠에스씨,기타 식품 제조업,"17,600,000","8,800,000,000",,,,6.51,657,N/A,N/A,0.82,5209,1.4
10170,대한광통신,절연선 및 케이블 제조업,"73,741,625","36,870,812,500",,,,N/A,-153,N/A,N/A,1.67,2401,N/A
10240,흥국,특수 목적용 기계 제조업,"12,322,696","6,161,348,000",,,,6.57,665,N/A,N/A,0.78,5636,3.43
10280,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","40,464,034","40,464,034,000",,,,1250,1,N/A,N/A,1.17,1071,N/A
10470,오리콤,광고업,"11,704,050","11,704,050,000",,,,10.23,427,N/A,N/A,0.63,6979,5.03
11040,경동제약,의약품 제조업,"26,550,000","13,575,000,000",,,,17.11,783,N/A,N/A,1.46,9148,2.98
11080,형지I&C,봉제의복 제조업,"38,955,668","19,477,834,000",,,,N/A,-61,N/A,N/A,2.24,526,N/A
11320,유니크,자동차 신품 부품 제조업,"19,320,695","9,660,347,500",,,,32.53,221,N/A,N/A,1.37,5247,0.17
11370,서한,건물 건설업,"100,894,865","50,447,432,500",,,,10.77,104,N/A,N/A,0.37,3007,2.68
11560,세보엠이씨,건물설비 설치 공사업,"10,530,000","5,265,000,000",,,,N/A,-1012,N/A,N/A,0.38,15052,2.61
12340,뉴인텍,전자부품 제조업,"30,044,502","15,022,251,000",,,,N/A,-26,N/A,N/A,1.75,909,N/A
12620,원일특강,1차 철강 제조업,"4,400,000","2,200,000,000",,,,4.3,2089,N/A,N/A,0.33,26870,1.67
12700,리드코프,기타 전문 도매업,"26,446,135","13,777,741,000",,,,4.23,1659,N/A,N/A,0.48,14497,2.14
12790,신일제약,의약품 제조업,"10,902,000","5,451,000,000",,,,39.59,735,N/A,N/A,2.99,9720,0.37
12860,모베이스전자,자동차 신품 부품 제조업,"52,000,000","26,000,000,000",,,,N/A,-408,N/A,N/A,0.59,2845,N/A
13030,하이록코리아,1차 철강 제조업,"13,613,232","6,806,616,000",,,,11.77,1177,N/A,N/A,0.55,25044,3.61
13120,동원개발,건물 건설업,"90,808,100","45,404,050,000",,,,3.89,932,N/A,N/A,0.42,8675,4.69
13310,아진산업,자동차 신품 부품 제조업,"36,607,422","18,303,711,000",,,,6.13,434,N/A,N/A,0.47,5713,N/A
13720,청보산업,자동차 신품 부품 제조업,"8,178,771","4,089,385,500",,,,267.5,16,N/A,N/A,1.6,2678,N/A
13810,스페코,특수 목적용 기계 제조업,"14,655,470","7,327,735,000",,,,7.67,720,N/A,N/A,2.69,2049,N/A
13990,아가방컴퍼니,생활용품 도매업,"32,887,536","16,443,768,000",,,,N/A,-552,N/A,N/A,0.73,3983,N/A
14100,메디앙스,기타 화학제품 제조업,"11,800,000","5,900,000,000",,,,4.83,869,N/A,N/A,0.67,6270,N/A
14190,원익큐브,기타 전문 도매업,"35,399,906","17,699,953,000",,,,9.58,167,N/A,N/A,0.7,2287,N/A
