CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
20,동화약품,의약품 제조업,"27,931,470","27,931,470,000",29350,83.38,352,N/A,N/A,2.71,10848,0.41
40,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",744,N/A,-761,N/A,N/A,1.91,390,N/A
50,경방,종합 소매업,"27,415,270","13,707,635,000",11700,8.69,1346,N/A,N/A,0.42,28062,1.07
80,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",44300,642.03,69,31,1431,3.03,14614,1.58
100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",66800,32.41,2061,23,2902,2.41,27766,0.57
120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",150500,48.69,3091,39,3896,0.9,166903,N/A
150,두산,회사 본부 및 경영 컨설팅 서비스업,"16,523,835","123,738,105,000",44400,4.19,10600,N/A,N/A,0.55,80486,11.71
180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"69,751,600","36,000,000,000",1660,N/A,-119,N/A,N/A,0.21,8078,N/A
210,대림산업,토목 건설업,"34,800,000","218,500,000,000",86300,5.18,16654,4,20274,0.55,157285,1.51
220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",17400,23.71,734,N/A,N/A,1.39,12500,1.21
230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",9150,N/A,-2762,N/A,N/A,0.78,11728,1.04
270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",42250,11.86,3561,12,3562,0.59,71692,2.72
300,대유플러스,통신 및 방송 장비 제조업,"114,588,434","57,294,217,000",618,2.63,235,N/A,N/A,0.8,768,N/A
390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",5150,27.54,187,N/A,N/A,0.42,12385,2.43
430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",3230,22.91,141,N/A,N/A,0.43,7551,3.56
480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",73700,18.06,4081,N/A,N/A,0.42,176356,5.43
490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",7180,33.71,213,N/A,N/A,0.66,10855,0.84
500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",16750,12.39,1352,N/A,N/A,0.26,64821,3.58
520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",21950,99.77,220,N/A,N/A,2.12,10361,0.68
650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",61200,N/A,-1305,N/A,N/A,1.83,33382,8.17
660,SK하이닉스,반도체 제조업,"728,002,365","3,657,652,050,000",80600,37.65,2141,14,5870,1.14,70513,1.24
670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",583000,4.34,134345,N/A,N/A,0.3,1919580,1.72
680,LS네트웍스,상품 종합 도매업,"78,803,016","394,015,080,000",2220,N/A,-1104,N/A,N/A,0.32,7004,N/A
700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,"26,041,812","65,104,530,000",5570,23.21,240,N/A,N/A,0.61,9162,N/A
720,현대건설,토목 건설업,"111,355,765","557,273,105,000",34100,8.73,3907,9,3792,0.56,60551,1.76
760,이화산업,기타 전문 도매업,"2,800,000","14,000,000,000",14050,N/A,-1325,N/A,N/A,0.39,36374,N/A
850,화천기공,특수 목적용 기계 제조업,"2,200,000","11,000,000,000",31800,9.8,3245,N/A,N/A,0.23,136013,3.93
860,강남제비스코,기타 화학제품 제조업,"6,500,000","6,500,000,000",15200,7.76,1958,N/A,N/A,0.19,80662,3.29
880,한화,기타 화학제품 제조업,"74,958,735","489,550,145,000",24800,20.65,1201,9,2877,0.52,47901,2.82
890,보해양조,알코올음료 제조업,"127,449,373","63,724,686,500",879,N/A,-129,N/A,N/A,1.38,637,N/A
910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","15,611,619","7,805,809,500",9550,N/A,-1366,N/A,N/A,1.63,5863,1.05
950,전방,방적 및 가공사 제조업,"1,680,000","8,400,000,000",25700,N/A,-21607,N/A,N/A,0.38,67524,N/A
970,한국주철관공업,1차 철강 제조업,"22,800,500","12,000,000,000",9200,16.67,552,N/A,N/A,0.73,12528,2.17
990,DB하이텍,반도체 제조업,"44,398,588","222,554,520,000",33750,10.46,3226,N/A,N/A,2.14,15768,1.04
1020,페이퍼코리아,"펄프, 종이 및 판지 제조업","35,166,280","17,583,140,000",1665,N/A,-701,N/A,N/A,2.84,586,N/A
1060,JW중외제약,의약품 제조업,"20,920,054","52,956,972,500",38500,N/A,-1049,N/A,N/A,3.86,9986,0.82
1070,대한방직,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000",33250,N/A,-2329,N/A,N/A,0.95,35070,N/A
1080,만호제강,1차 철강 제조업,"4,150,000","4,150,000,000",16800,34.57,486,N/A,N/A,0.22,75855,1.19
1120,LG상사,상품 중개업,"38,760,000","193,800,000,000",15350,2.93,5236,2,7491,0.42,36390,1.95
1130,대한제분,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000",164500,15.93,10328,N/A,N/A,0.36,460154,1.22
1140,국보,도로 화물 운송업,"44,596,337","22,298,168,500",2420,N/A,-755,N/A,N/A,2.44,992,N/A
1200,유진증권,금융 지원 서비스업,"96,866,418","537,592,090,000",4320,9.27,466,N/A,N/A,0.52,8375,1.62
1210,금호전기,전구 및 조명장치 제조업,"11,981,820","5,990,910,000",3390,N/A,-3572,N/A,N/A,1.14,2978,N/A
1230,동국제강,1차 철강 제조업,"95,432,737","589,228,035,000",6140,N/A,-2019,-9,-656,0.3,20452,N/A
1250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",1720,N/A,-213,N/A,N/A,0.39,4401,N/A
1260,남광토건,토목 건설업,"9,828,611","49,143,055,000",10750,25.29,425,N/A,N/A,1.89,5692,N/A
1270,부국증권,금융 지원 서비스업,"10,369,886","66,849,430,000",19550,8.69,2251,N/A,N/A,0.36,53600,6.14
1290,상상인증권,금융 지원 서비스업,"96,108,437","97,411,913,000",1030,N/A,-11,N/A,N/A,0.63,1638,N/A
1340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",3755,14.28,263,N/A,N/A,0.96,3925,2
1360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",4295,N/A,-187,N/A,N/A,1.89,2274,N/A
1380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",1620,N/A,-2,N/A,N/A,0.55,2966,N/A
1390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",21950,2.87,7636,N/A,N/A,0.82,26655,1.6
1420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",3475,75.54,46,N/A,N/A,0.81,4269,2.45
1430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",10350,16.48,628,14,751,0.2,53049,2.9
1440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",743,N/A,-23,N/A,N/A,2.32,320,N/A
1460,BYC,봉제의복 제조업,"624,615","4,200,000,000",212000,7,30267,N/A,N/A,0.41,519728,0.52
1470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",928,13.65,68,N/A,N/A,0.61,1521,N/A
1500,현대차증권,금융 지원 서비스업,"29,337,111","146,685,555,000",10150,4.44,2286,N/A,N/A,0.4,25572,5.91
1510,SK증권,금융 지원 서비스업,"472,590,171","238,251,342,500",870,870,1,N/A,N/A,0.72,1213,1.15
1520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",1220,N/A,-9,N/A,N/A,0.3,4052,3.28
1530,디아이동일,상품 중개업,"2,465,609","12,328,045,000",75900,12.42,6110,N/A,N/A,0.28,273380,1.94
1550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",24700,1235,20,N/A,N/A,2.64,9342,N/A
1560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",6520,11.16,584,N/A,N/A,0.6,10956,3.37
1570,금양,기초 화학물질 제조업,"44,048,135","22,024,067,500",4800,N/A,-236,N/A,N/A,2.49,1930,N/A
1620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",584,N/A,-117,N/A,N/A,0.23,2594,N/A
1630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",123000,16.09,7643,N/A,N/A,1.3,94464,1.06
1680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",25800,6.78,3805,8,3398,0.9,28718,2.33
