Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,000020,동화약품,의약품 제조업,"27,931,470","27,931,470,000",21650.0,22850.0,N/A,35.2,615.0,N/A,N/A,1.92,11272.0,0.55
1,000040,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",671.0,671.0,N/A,N/A,-615.0,N/A,N/A,1.46,459.0,N/A
2,000050,경방,종합 소매업,"27,415,270","13,707,635,000",10850.0,11250.0,N/A,7.35,1476.0,N/A,N/A,0.38,28327.0,1.15
5,000080,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",38900.0,38850.0,N/A,40.19,968.0,25.0,1544.0,2.56,15201.0,1.8
6,000100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",65900.0,65900.0,N/A,26.58,2479.0,23.0,2902.0,2.29,28716.0,0.58
7,000120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",147500.0,145500.0,N/A,37.23,3962.0,33.0,4463.0,0.88,168315.0,N/A
11,000210,대림산업,토목 건설업,"34,800,000","218,500,000,000",78800.0,78900.0,N/A,4.43,17773.0,4.0,20299.0,0.49,162216.0,1.65
12,000220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",17200.0,16650.0,N/A,38.05,452.0,N/A,N/A,1.38,12478.0,1.22
13,000230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",9830.0,9650.0,N/A,N/A,-2762.0,N/A,N/A,0.84,11728.0,0.97
15,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",40750.0,40250.0,N/A,15.52,2626.0,11.0,3562.0,0.57,72087.0,2.82
16,000300,대유플러스,통신 및 방송 장비 제조업,"114,588,434","57,294,217,000",580.0,564.0,N/A,2.47,235.0,N/A,N/A,0.76,768.0,N/A
19,000390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",4830.0,4850.0,N/A,30.57,158.0,N/A,N/A,0.38,12571.0,2.59
21,000430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",3070.0,3060.0,N/A,N/A,-15.0,N/A,N/A,0.41,7415.0,3.75
22,000480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",71400.0,72000.0,N/A,6.02,11859.0,N/A,N/A,0.38,188006.0,5.6
23,000490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",6040.0,6040.0,N/A,24.65,245.0,N/A,N/A,0.38,15859.0,0.99
24,000500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",17850.0,17800.0,N/A,13.2,1352.0,N/A,N/A,0.28,64821.0,3.36
25,000520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",20050.0,20500.0,N/A,179.02,112.0,N/A,N/A,1.93,10384.0,0.75
29,000650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",61800.0,60900.0,N/A,N/A,-1305.0,N/A,N/A,1.85,33382.0,8.09
30,000660,SK하이닉스,반도체 제조업,"728,002,365","3,657,652,050,000",74500.0,71800.0,N/A,23.73,3140.0,13.0,5733.0,1.03,72197.0,1.34
31,000670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",483500.0,481500.0,N/A,3.99,121296.0,N/A,N/A,0.25,1938295.0,2.07
32,000680,LS네트웍스,상품 종합 도매업,"78,803,016","394,015,080,000",2025.0,2020.0,N/A,N/A,-994.0,N/A,N/A,0.29,7102.0,N/A
34,000720,현대건설,토목 건설업,"111,355,765","557,273,105,000",32500.0,32200.0,N/A,8.32,3907.0,9.0,3780.0,0.54,60551.0,1.85
35,000760,이화산업,기타 전문 도매업,"2,800,000","14,000,000,000",13700.0,13800.0,N/A,N/A,-1624.0,N/A,N/A,0.38,36094.0,N/A
37,000850,화천기공,특수 목적용 기계 제조업,"2,200,000","11,000,000,000",31150.0,31000.0,N/A,12.38,2516.0,N/A,N/A,0.23,133994.0,4.01
38,000860,강남제비스코,기타 화학제품 제조업,"6,500,000","6,500,000,000",14800.0,14750.0,N/A,7.39,2003.0,N/A,N/A,0.18,81811.0,3.38
39,000880,한화,기타 화학제품 제조업,"74,958,735","489,550,145,000",25250.0,24700.0,N/A,13.23,1909.0,8.0,3202.0,0.49,51932.0,2.77
40,000890,보해양조,알코올음료 제조업,"127,449,373","63,724,686,500",798.0,792.0,N/A,N/A,-129.0,N/A,N/A,1.25,637.0,N/A
41,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","15,611,619","7,805,809,500",9440.0,9590.0,N/A,N/A,-1366.0,N/A,N/A,1.61,5863.0,1.06
42,000950,전방,방적 및 가공사 제조업,"1,680,000","8,400,000,000",25050.0,25450.0,N/A,N/A,-19890.0,N/A,N/A,0.39,63551.0,N/A
43,000970,한국주철관공업,1차 철강 제조업,"22,800,500","12,000,000,000",8610.0,8150.0,N/A,20.95,411.0,N/A,N/A,0.69,12458.0,2.32
44,000990,DB하이텍,반도체 제조업,"44,398,588","222,554,520,000",35750.0,36600.0,N/A,9.79,3652.0,N/A,N/A,2.11,16924.0,0.98
45,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","35,166,280","17,583,140,000",1400.0,1435.0,N/A,N/A,-25.0,N/A,N/A,1.83,767.0,N/A
47,001060,JW중외제약,의약품 제조업,"20,920,054","52,956,972,500",37700.0,37200.0,N/A,N/A,-1498.0,N/A,N/A,3.92,9623.0,0.84
48,001070,대한방직,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000",33850.0,33300.0,N/A,N/A,-2329.0,N/A,N/A,0.97,35070.0,N/A
49,001080,만호제강,1차 철강 제조업,"4,150,000","4,150,000,000",15000.0,15600.0,N/A,30.86,486.0,N/A,N/A,0.2,75855.0,1.33
50,001120,LG상사,상품 중개업,"38,760,000","193,800,000,000",14450.0,14300.0,N/A,2.76,5236.0,2.0,7409.0,0.4,36390.0,2.08
51,001130,대한제분,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000",162500.0,164500.0,N/A,11.1,14635.0,N/A,N/A,0.34,471567.0,1.23
52,001140,국보,도로 화물 운송업,"44,596,337","22,298,168,500",2500.0,2500.0,N/A,N/A,-755.0,N/A,N/A,2.52,992.0,N/A
54,001210,금호전기,전구 및 조명장치 제조업,"11,981,820","5,990,910,000",3190.0,3065.0,N/A,N/A,-2691.0,N/A,N/A,1.11,2874.0,N/A
55,001230,동국제강,1차 철강 제조업,"95,432,737","589,228,035,000",6130.0,6040.0,N/A,N/A,-2019.0,-11.0,-562.0,0.3,20452.0,N/A
56,001250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",1630.0,1580.0,N/A,N/A,-196.0,N/A,N/A,0.36,4476.0,N/A
57,001260,남광토건,토목 건설업,"9,828,611","49,143,055,000",10150.0,10000.0,N/A,18.22,557.0,N/A,N/A,1.77,5740.0,N/A
60,001340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",3525.0,3640.0,N/A,13.25,266.0,N/A,N/A,0.88,4016.0,2.13
61,001360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",3735.0,3750.0,N/A,N/A,-306.0,N/A,N/A,1.74,2152.0,N/A
62,001380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",1785.0,1705.0,N/A,N/A,-47.0,N/A,N/A,0.61,2936.0,N/A
63,001390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",22150.0,21700.0,N/A,2.9,7636.0,N/A,N/A,0.83,26655.0,1.58
64,001420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",3310.0,3350.0,N/A,143.91,23.0,N/A,N/A,0.77,4290.0,2.57
65,001430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",9590.0,9580.0,N/A,15.27,628.0,11.0,849.0,0.18,53049.0,3.13
66,001440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",686.0,675.0,N/A,N/A,-23.0,N/A,N/A,2.14,320.0,N/A
68,001460,BYC,봉제의복 제조업,"624,615","4,200,000,000",227500.0,225500.0,N/A,6.88,33069.0,N/A,N/A,0.43,529707.0,0.48
69,001470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",919.0,902.0,N/A,26.26,35.0,N/A,N/A,0.62,1494.0,N/A
72,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",1120.0,1140.0,N/A,N/A,-9.0,N/A,N/A,0.28,4052.0,3.57
73,001530,디아이동일,상품 중개업,"2,465,609","12,328,045,000",89100.0,89100.0,N/A,10.74,8294.0,N/A,N/A,0.32,280781.0,1.65
74,001550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",21150.0,20450.0,N/A,1057.5,20.0,N/A,N/A,2.26,9342.0,N/A
75,001560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",6230.0,6240.0,N/A,13.46,463.0,N/A,N/A,0.55,11260.0,3.53
76,001570,금양,기초 화학물질 제조업,"44,048,135","22,024,067,500",3985.0,3860.0,N/A,N/A,-309.0,N/A,N/A,2.17,1839.0,N/A
77,001620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",572.0,562.0,N/A,N/A,-283.0,N/A,N/A,0.24,2419.0,N/A
78,001630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",119500.0,117500.0,N/A,11.6,10299.0,N/A,N/A,1.22,98270.0,1.09
79,001680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",26800.0,28000.0,N/A,7.04,3805.0,7.0,3689.0,0.93,28718.0,2.24
81,001740,SK네트웍스,기타 전문 도매업,"248,187,647","620,753,237,500",5130.0,5040.0,N/A,N/A,-526.0,9.0,545.0,0.57,9045.0,2.34
83,001770,신화실업,1차 철강 제조업,"1,214,878","6,074,390,000",19150.0,19150.0,N/A,35.59,538.0,N/A,N/A,0.69,27929.0,0.52
84,001780,알루코,1차 비철금속 제조업,"74,714,941","37,357,470,500",3440.0,4000.0,N/A,N/A,-76.0,N/A,N/A,1.22,2821.0,N/A
85,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","8,969,658","24,044,835,000",18800.0,18650.0,N/A,11.78,1596.0,N/A,N/A,0.37,50544.0,3.59
87,001820,삼화콘덴서공업,전자부품 제조업,"10,395,000","10,395,000,000",54000.0,52800.0,N/A,29.32,1842.0,N/A,N/A,3.36,16066.0,0.46
88,001880,대림건설,건물 건설업,"22,053,284","110,266,420,000",24500.0,24500.0,N/A,3.09,7924.0,N/A,N/A,0.69,35701.0,1.63
89,001940,KISCO홀딩스,1차 철강 제조업,"18,476,380","18,476,380,000",11150.0,11000.0,N/A,4.89,2282.0,N/A,N/A,0.21,53729.0,2.51
92,002070,비비안,봉제의복 제조업,"68,679,450","6,867,945,000",4280.0,4155.0,N/A,N/A,-281.0,N/A,N/A,0.42,10243.0,N/A
93,002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",14400.0,14650.0,N/A,40.34,357.0,N/A,N/A,1.28,11223.0,1.53
94,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",4210.0,4035.0,N/A,19.49,216.0,N/A,N/A,1.09,3861.0,0.71
95,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000",7450.0,7320.0,N/A,15.05,495.0,N/A,N/A,0.98,7601.0,3.36
96,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000",61900.0,61700.0,N/A,4.2,14731.0,N/A,N/A,0.52,120155.0,1.62
97,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",17250.0,17150.0,N/A,4.44,3888.0,N/A,N/A,0.27,62958.0,3.48
98,002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",12300.0,12650.0,N/A,N/A,-461.0,N/A,N/A,4.5,2736.0,N/A
99,002220,한일철강,1차 철강 제조업,"22,841,537","11,420,768,500",1675.0,1675.0,N/A,N/A,-419.0,N/A,N/A,0.24,6953.0,N/A
100,002240,고려제강,1차 철강 제조업,"20,000,000","20,000,000,000",14500.0,14450.0,N/A,N/A,-1051.0,N/A,N/A,0.21,68271.0,2.41
