Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
0,000020,동화약품,의약품 제조업,"27,931,470","27,931,470,000",110.0,112.0,99.0,N/A,-9.0,7.0,78.0,27.0,62.0,N/A
1,000040,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",-260,-163,-247,N/A,-23.0,-38.0,-156.0,4.0,8.0,N/A
2,000050,경방,종합 소매업,"27,415,270","13,707,635,000",423.0,410.0,320.0,N/A,80.0,44.0,107.0,32.0,33.0,N/A
5,000080,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",872.0,904.0,882.0,2008.0,106.0,492.0,327.0,561.0,541.0,566.0
6,000100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",887.0,501.0,125.0,731.0,-54.0,33.0,85.0,11.0,357.0,129.0
7,000120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",2357,2427,3072,3454,718.0,887.0,1013.0,582.0,839.0,945.0
11,000210,대림산업,토목 건설업,"34,800,000","218,500,000,000",5459.0,8454.0,11301.0,12029.0,2977.0,2230.0,3685.0,2902.0,3071.0,2506.0
12,000220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",36.0,53.0,81.0,N/A,29.0,15.0,18.0,30.0,17.0,N/A
13,000230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",7.0,-7.0,-238.0,N/A,26.0,24.0,-104.0,-184.0,-37.0,N/A
15,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",6622.0,11575.0,20097.0,17033.0,5336.0,2915.0,5905.0,4445.0,1452.0,4671.0
16,000300,대유플러스,통신 및 방송 장비 제조업,"114,588,434","57,294,217,000",71,364,396,N/A,50.0,136.0,83.0,127.0,22.0,N/A
19,000390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",88.0,79.0,112.0,N/A,70.0,32.0,37.0,-18.0,57.0,N/A
21,000430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",382.0,422.0,269.0,N/A,84.0,47.0,111.0,42.0,-121.0,N/A
22,000480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",-32.0,394.0,213.0,N/A,7.0,82.0,35.0,73.0,-18.0,N/A
23,000490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",172.0,52.0,245.0,N/A,226.0,75.0,-166.0,163.0,265.0,N/A
24,000500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",79.0,52.0,71.0,N/A,14.0,28.0,14.0,16.0,32.0,N/A
25,000520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",13.0,-57.0,48.0,N/A,11.0,2.0,10.0,33.0,21.0,N/A
29,000650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",-20.0,-22.0,6.0,N/A,-4.0,-,3.0,5.0,-27.0,N/A
30,000660,SK하이닉스,반도체 제조업,"728,002,365","3,657,652,050,000",137213.0,208438.0,27127.0,57110.0,6376.0,4726.0,2360.0,8003.0,19467.0,15344.0
31,000670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",1594.0,-1089.0,844.0,N/A,305.0,428.0,181.0,150.0,122.0,N/A
