Unnamed: 0,CODE,NAME,SECT._x,STOCK NO.,CAPT.,SECT._y
0,000020,동화약품,의약품 제조업,"27,931,470","27,931,470,000",제약
1,000040,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",자동차
2,000050,경방,종합 소매업,"27,415,270","13,707,635,000","섬유,의류,신발,호화품"
5,000080,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",음료
6,000100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",제약
7,000120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",항공화물운송과물류
11,000210,대림산업,토목 건설업,"34,800,000","218,500,000,000",건설
12,000220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",제약
13,000230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",제약
15,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",자동차
16,000300,대유플러스,통신 및 방송 장비 제조업,"114,588,434","57,294,217,000",자동차부품
19,000390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",건축자재
21,000430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",자동차부품
22,000480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",비철금속
23,000490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",기계
24,000500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",전기장비
25,000520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",제약
29,000650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",도로와철도운송
30,000660,SK하이닉스,반도체 제조업,"728,002,365","3,657,652,050,000",반도체와반도체장비
31,000670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",핸드셋
32,000680,LS네트웍스,상품 종합 도매업,"78,803,016","394,015,080,000","섬유,의류,신발,호화품"
34,000720,현대건설,토목 건설업,"111,355,765","557,273,105,000",건설
35,000760,이화산업,기타 전문 도매업,"2,800,000","14,000,000,000",화학
37,000850,화천기공,특수 목적용 기계 제조업,"2,200,000","11,000,000,000",기계
38,000860,강남제비스코,기타 화학제품 제조업,"6,500,000","6,500,000,000",건축자재
39,000880,한화,기타 화학제품 제조업,"74,958,735","489,550,145,000",생명보험
40,000890,보해양조,알코올음료 제조업,"127,449,373","63,724,686,500",음료
41,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","15,611,619","7,805,809,500",건축자재
42,000950,전방,방적 및 가공사 제조업,"1,680,000","8,400,000,000","섬유,의류,신발,호화품"
43,000970,한국주철관공업,1차 철강 제조업,"22,800,500","12,000,000,000",철강
44,000990,DB하이텍,반도체 제조업,"44,398,588","222,554,520,000",반도체와반도체장비
45,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","35,166,280","17,583,140,000",종이와목재
47,001060,JW중외제약,의약품 제조업,"20,920,054","52,956,972,500",제약
48,001070,대한방직,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000","섬유,의류,신발,호화품"
49,001080,만호제강,1차 철강 제조업,"4,150,000","4,150,000,000",철강
50,001120,LG상사,상품 중개업,"38,760,000","193,800,000,000",무역회사와판매업체
51,001130,대한제분,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000",식품
52,001140,국보,도로 화물 운송업,"44,596,337","22,298,168,500",항공화물운송과물류
54,001210,금호전기,전구 및 조명장치 제조업,"11,981,820","5,990,910,000",디스플레이장비및부품
55,001230,동국제강,1차 철강 제조업,"95,432,737","589,228,035,000",철강
56,001250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",무역회사와판매업체
57,001260,남광토건,토목 건설업,"9,828,611","49,143,055,000",건설
60,001340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",화학
61,001360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",제약
62,001380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",자동차부품
63,001390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",화학
64,001420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",자동차부품
65,001430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",철강
66,001440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",전기장비
68,001460,BYC,봉제의복 제조업,"624,615","4,200,000,000","섬유,의류,신발,호화품"
69,001470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",건설
72,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",건축자재
73,001530,디아이동일,상품 중개업,"2,465,609","12,328,045,000","섬유,의류,신발,호화품"
74,001550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",화학
75,001560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",비철금속
76,001570,금양,기초 화학물질 제조업,"44,048,135","22,024,067,500",화학
77,001620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",자동차부품
78,001630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",제약
79,001680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",식품
81,001740,SK네트웍스,기타 전문 도매업,"248,187,647","620,753,237,500",복합기업
83,001770,신화실업,1차 철강 제조업,"1,214,878","6,074,390,000",철강
84,001780,알루코,1차 비철금속 제조업,"74,714,941","37,357,470,500",비철금속
85,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","8,969,658","24,044,835,000",식품
87,001820,삼화콘덴서공업,전자부품 제조업,"10,395,000","10,395,000,000",전기제품
88,001880,대림건설,건물 건설업,"22,053,284","110,266,420,000",건설
89,001940,KISCO홀딩스,1차 철강 제조업,"18,476,380","18,476,380,000",철강
92,002070,비비안,봉제의복 제조업,"68,679,450","6,867,945,000","섬유,의류,신발,호화품"
93,002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",화학
94,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",식품
95,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000",건설
