,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,CJ프레시웨이,051500,15550.0,N/A,-1039.0,-17.0,-893.0,1.03,15026.0,1.61
0,KB오토시스,024120,6480.0,8.14,796.0,N/A,N/A,0.73,8920.0,3.55
0,갤럭시아컴즈,094480,4980.0,21.75,229.0,N/A,N/A,2.07,2404.0,1.1
0,나노브릭,286750,19600.0,N/A,-183.0,N/A,N/A,6.46,3032.0,N/A
0,대유에이피,290120,6110.0,8.58,712.0,N/A,N/A,1.47,4151.0,3.27
0,디지틀조선,033130,3540.0,37.26,95.0,N/A,N/A,1.72,2055.0,0.85
0,메디톡스,086900,189300.0,169.78,1115.0,N/A,N/A,4.31,43957.0,0.41
0,바이넥스,053030,21700.0,78.91,275.0,N/A,N/A,4.18,5196.0,N/A
0,세종메디칼,258830,13250.0,28.31,468.0,N/A,N/A,1.9,6978.0,0.75
0,쌍용정보통신,010280,1235.0,1235.0,1.0,N/A,N/A,1.15,1071.0,N/A
0,아이원스,114810,8230.0,N/A,-239.0,N/A,N/A,0.85,9630.0,N/A
0,에스코넥,096630,1730.0,N/A,-251.0,N/A,N/A,1.17,1475.0,N/A
0,엠게임,058630,6250.0,14.24,439.0,N/A,N/A,2.87,2174.0,N/A
0,우리바이오,082850,1190.0,14.17,84.0,N/A,N/A,0.54,2215.0,N/A
0,유니테크노,241690,11100.0,23.03,482.0,N/A,N/A,1.92,5785.0,N/A
0,이엠넷,123570,4355.0,13.91,313.0,N/A,N/A,1.64,2659.0,0.69
0,제우스,079370,14400.0,32.0,450.0,N/A,N/A,0.67,21436.0,1.39
0,지엔씨에너지,119850,6490.0,23.69,274.0,N/A,N/A,1.28,5072.0,0.77
0,코스온,069110,4690.0,N/A,-448.0,N/A,N/A,1.02,4609.0,N/A
0,티앤알바이오팹,246710,14800.0,N/A,-741.0,N/A,N/A,5.31,2787.0,N/A
0,피델릭스,032580,1400.0,N/A,-55.0,N/A,N/A,1.02,1376.0,N/A
0,한일화학,007770,9740.0,23.64,412.0,N/A,N/A,0.37,26580.0,1.54
0,CS,065770,2520.0,N/A,-20.0,N/A,N/A,2.22,1135.0,N/A
0,SCI평가정보,036120,5290.0,30.94,171.0,N/A,N/A,8.71,607.0,1.3
0,나노엔텍,039860,11500.0,42.28,272.0,N/A,N/A,7.22,1593.0,N/A
0,뉴파워프라즈마,144960,6050.0,25.85,234.0,N/A,N/A,1.74,3468.0,N/A
0,디알텍,214680,1680.0,52.5,32.0,N/A,N/A,2.15,783.0,N/A
0,머큐리,100590,10550.0,502.38,21.0,N/A,N/A,2.22,4760.0,N/A
0,미래에셋벤처투자,100790,3990.0,21.8,183.0,N/A,N/A,1.26,3174.0,3.09
0,삼강엠앤티,100090,10250.0,N/A,-314.0,N/A,N/A,2.04,5013.0,N/A
0,삼화네트웍스,046390,1410.0,33.57,42.0,N/A,N/A,1.59,886.0,N/A
0,세명전기,017510,3940.0,28.14,140.0,N/A,N/A,0.87,4554.0,2.03
0,신라젠,215600,12100.0,N/A,-1526.0,N/A,N/A,17.41,695.0,N/A
0,아이에이,038880,441.0,441.0,1.0,N/A,N/A,1.76,250.0,N/A
0,에스제이케이,080440,498.0,N/A,-936.0,N/A,N/A,0.6,831.0,N/A
0,엑스큐어,070300,5450.0,N/A,-17.0,N/A,N/A,1.73,3156.0,N/A
0,오션브릿지,241790,17200.0,16.44,1046.0,N/A,N/A,2.64,6516.0,1.57
0,유안타제6호스팩,340360,1985.0,N/A,-29.0,N/A,N/A,1.02,1941.0,N/A
0,이엠앤아이,083470,1585.0,0.37,4262.0,N/A,N/A,6.86,231.0,N/A
0,잉크테크,049550,3200.0,N/A,-191.0,N/A,N/A,1.43,2237.0,N/A
0,지니뮤직,043610,3590.0,31.49,114.0,N/A,N/A,1.34,2674.0,N/A
0,케이엔더블유,105330,7030.0,N/A,-993.0,N/A,N/A,1.44,4888.0,N/A
0,코위버,056360,9700.0,4.72,2057.0,N/A,N/A,0.78,12435.0,2.06
0,테스나,131970,89000.0,30.16,2951.0,N/A,N/A,4.26,20887.0,0.22
0,펌텍코리아,251970,15850.0,9.02,1758.0,N/A,N/A,1.17,13520.0,2.08
0,한국아트라스비엑스,023890,45500.0,8.51,5345.0,N/A,N/A,0.46,99656.0,0.88
0,한탑,002680,1815.0,N/A,-529.0,N/A,N/A,1.15,1579.0,N/A
0,JTC,950170,4010.0,N/A,-868.0,N/A,N/A,0.6,6665.0,0.87
0,SGA솔루션즈,184230,842.0,N/A,-686.0,N/A,N/A,1.89,445.0,N/A
0,노터스,278650,26800.0,44.89,597.0,N/A,N/A,4.54,5898.0,N/A
0,덕신하우징,090410,1395.0,55.8,25.0,N/A,N/A,0.75,1855.0,N/A
0,디지털대성,068930,6140.0,9.98,615.0,N/A,N/A,1.53,4012.0,4.89
0,마크로밀엠브레인,169330,9120.0,N/A,N/A,N/A,N/A,N/A,N/A,1.53
0,비디아이,148140,5690.0,N/A,-39.0,N/A,N/A,2.25,2524.0,N/A
0,세운메디칼,100700,3965.0,18.02,220.0,N/A,N/A,1.77,2241.0,1.26
0,스맥,099440,1835.0,N/A,-504.0,N/A,N/A,0.48,3825.0,N/A
0,쎄미시스코,136510,8840.0,N/A,-991.0,N/A,N/A,1.91,4637.0,N/A
0,아프리카TV,067160,63100.0,22.64,2787.0,21.0,2968.0,5.92,10654.0,0.87
0,에스퓨얼셀,288620,43150.0,150.87,286.0,N/A,N/A,7.34,5878.0,0.12
0,엑셈,205100,3890.0,17.52,222.0,N/A,N/A,1.9,2049.0,N/A
0,오스테오닉,226400,3355.0,39.01,86.0,N/A,N/A,1.47,2278.0,N/A
0,유비벨록스,089850,8470.0,9.4,901.0,N/A,N/A,0.74,11409.0,N/A
0,이미지스,115610,2990.0,N/A,-1064.0,N/A,N/A,2.04,1464.0,N/A
0,지티지웰니스,219750,5010.0,N/A,-667.0,N/A,N/A,4.93,1017.0,N/A
0,코나아이,052400,13050.0,N/A,-458.0,N/A,N/A,2.23,5848.0,N/A
0,탑엔지니어링,065130,9880.0,10.27,962.0,N/A,N/A,0.76,13019.0,1.01
0,파워넷,037030,4550.0,10.39,438.0,N/A,N/A,1.02,4458.0,N/A
0,한국제7호스팩,291210,2070.0,172.5,12.0,N/A,N/A,1.12,1846.0,N/A
0,NHN벅스,104200,4690.0,19.14,245.0,N/A,N/A,0.89,5249.0,N/A
0,경남스틸,039240,1725.0,9.8,176.0,N/A,N/A,0.5,3445.0,5.22
0,넥스트BT,065170,2095.0,N/A,-154.0,N/A,N/A,2.6,807.0,N/A
0,덕산하이메탈,077360,8220.0,8.93,920.0,N/A,N/A,0.77,10727.0,N/A
0,라이온켐텍,171120,7760.0,10.69,726.0,N/A,N/A,1.29,5999.0,1.88
0,바이오스마트,038460,11700.0,11.23,1042.0,N/A,N/A,2.18,5359.0,0.54
0,선데이토즈,123420,26600.0,31.7,839.0,10.0,2743.0,1.67,15955.0,N/A
0,신원종합개발,017000,4860.0,3.9,1247.0,N/A,N/A,0.53,9109.0,N/A
0,아이엘사이언스,307180,3120.0,N/A,-140.0,N/A,N/A,6.37,490.0,N/A
0,에스모 머티리얼즈,087730,2720.0,N/A,-19242.0,N/A,N/A,8.24,330.0,N/A
0,에이치엘사이언스,239610,54900.0,13.87,3958.0,N/A,N/A,3.3,16628.0,0.73
0,엔에스엔,031860,1135.0,N/A,-279.0,N/A,N/A,1.16,982.0,N/A
0,옵티팜,153710,24900.0,N/A,-58.0,N/A,N/A,10.15,2453.0,N/A
0,유라테크,048430,12150.0,29.63,410.0,N/A,N/A,1.29,9443.0,0.82
0,인터플렉스,051370,14250.0,N/A,-1293.0,N/A,N/A,1.55,9173.0,N/A
0,조광ILI,044060,6160.0,41.62,148.0,N/A,N/A,1.09,5676.0,N/A
0,코맥스,036690,6580.0,27.53,239.0,N/A,N/A,1.45,4538.0,0.74
0,태웅,044490,13150.0,N/A,-1527.0,N/A,N/A,0.46,28391.0,N/A
0,퓨쳐켐,220100,10150.0,N/A,-935.0,N/A,N/A,9.58,1059.0,N/A
0,한국테크놀로지,053590,990.0,N/A,-336.0,N/A,N/A,3.87,256.0,N/A
0,IBKS제11호스팩,335890,2485.0,N/A,-29.0,N/A,N/A,1.29,1932.0,N/A
0,OQP,078590,5660.0,N/A,-163.0,N/A,N/A,4.23,1337.0,N/A
0,YBM넷,057030,7100.0,215.15,33.0,N/A,N/A,2.79,2544.0,N/A
0,구영테크,053270,1575.0,10.79,146.0,N/A,N/A,0.53,2982.0,1.9
0,네오크레마,311390,7470.0,45.55,164.0,N/A,N/A,1.44,5174.0,N/A
0,대한과학,131220,5770.0,35.62,162.0,N/A,N/A,1.55,3721.0,1.04
0,라온피플,300120,25600.0,25.96,986.0,N/A,N/A,4.38,5841.0,0.59
0,메가엠디,133750,3230.0,76.9,42.0,N/A,N/A,1.24,2608.0,1.55
0,보광산업,225530,6780.0,41.85,162.0,N/A,N/A,3.61,1880.0,0.74
0,삼보모터스,053700,5070.0,N/A,-887.0,N/A,N/A,0.4,12710.0,N/A
0,세원물산,024830,6280.0,4.48,1401.0,N/A,N/A,0.27,22886.0,0.4
0,아즈텍WB,032080,1675.0,11.96,140.0,N/A,N/A,0.37,4535.0,N/A
0,에스디시스템,121890,739.0,N/A,-1214.0,N/A,N/A,0.86,857.0,N/A
0,에코바이오,038870,8280.0,10.57,783.0,N/A,N/A,1.48,5603.0,N/A
0,엠아이텍,179290,4115.0,28.58,144.0,N/A,N/A,2.6,1585.0,1.22
0,와이제이엠게임즈,193250,1785.0,N/A,-93.0,N/A,N/A,1.33,1342.0,N/A
0,유아이디,069330,1055.0,N/A,-1301.0,N/A,N/A,0.93,1135.0,N/A
0,인피니트헬스케어,071200,7160.0,26.04,275.0,N/A,N/A,2.03,3532.0,N/A
0,젬백스링크,064800,1530.0,45.0,34.0,N/A,N/A,0.84,1816.0,0.65
0,카이노스메드,284620,4955.0,N/A,-78.0,N/A,N/A,51.61,96.0,N/A
0,토박스코리아,215480,1005.0,N/A,-15.0,N/A,N/A,1.9,528.0,N/A
0,프리엠스,053160,9660.0,N/A,-3.0,N/A,N/A,1.11,8710.0,0.52
0,한독크린텍,256150,22150.0,16.35,1355.0,N/A,N/A,2.32,9567.0,0.9
0,흥구석유,024060,6740.0,12.14,555.0,N/A,N/A,1.3,5182.0,2.23
0,광진실업,026910,3105.0,N/A,-240.0,N/A,N/A,0.73,4270.0,N/A
0,대신밸런스제6호스팩,307750,2060.0,N/A,-7.0,N/A,N/A,1.08,1910.0,N/A
0,디케이락,105740,9190.0,8.95,1027.0,N/A,N/A,0.83,11044.0,2.18
0,메지온,140410,174300.0,N/A,-2574.0,N/A,N/A,39.75,4385.0,N/A
0,뷰웍스,100120,35850.0,13.59,2638.0,N/A,N/A,2.15,16660.0,1.12
0,삼성머스트스팩3호,309930,2160.0,102.86,21.0,N/A,N/A,1.18,1828.0,N/A
0,소리바다,053110,389.0,N/A,-246.0,N/A,N/A,0.91,427.0,N/A
0,아시아경제,127710,1510.0,215.71,7.0,N/A,N/A,0.38,3984.0,N/A
0,야스,255440,14250.0,17.19,829.0,N/A,N/A,1.24,11526.0,1.05
0,에이에프더블류,312610,15100.0,28.33,533.0,N/A,N/A,2.12,7124.0,0.66
0,오디텍,080520,4895.0,37.37,131.0,N/A,N/A,0.47,10512.0,2.04
0,우주일렉트로,065680,26450.0,22.88,1156.0,N/A,N/A,1.16,22829.0,1.13
0,이그잭스,060230,1425.0,N/A,-52.0,N/A,N/A,1.91,748.0,N/A
0,인크로스,216050,43100.0,36.22,1190.0,N/A,N/A,4.92,8766.0,N/A
0,진로발효,018120,30500.0,14.63,2085.0,N/A,N/A,2.78,10979.0,4.43
0,코스나인,082660,1205.0,N/A,-2013.0,N/A,N/A,1.56,771.0,N/A
0,테크윙,089030,20850.0,21.41,974.0,12.0,1686.0,2.27,9171.0,1.1
0,포메탈,119500,3390.0,17.3,196.0,N/A,N/A,0.9,3785.0,1.77
0,한류타임즈,039670,917.0,N/A,-6643.0,N/A,N/A,N/A,-940.0,N/A
0,화신정공,126640,1240.0,11.81,105.0,N/A,N/A,0.55,2246.0,2.42
0,ISC,095340,20150.0,24.54,821.0,N/A,N/A,1.56,12946.0,0.25
0,국일제지,078130,5590.0,N/A,-300.0,N/A,N/A,13.44,416.0,N/A
0,네오펙트,290660,5890.0,N/A,-1496.0,N/A,N/A,8.34,706.0,N/A
0,대성엘텍,025440,667.0,N/A,-93.0,N/A,N/A,1.76,380.0,N/A
0,동양에스텍,060380,2740.0,N/A,-211.0,N/A,N/A,0.56,4867.0,3.65
0,디젠스,113810,421.0,N/A,-76.0,N/A,N/A,0.7,599.0,N/A
0,모바일어플라이언스,087260,3580.0,N/A,-66.0,N/A,N/A,3.76,952.0,N/A
0,빅솔론,093190,4625.0,8.0,578.0,N/A,N/A,0.52,8854.0,4.11
0,세틀뱅크,234340,28000.0,19.1,1466.0,N/A,N/A,2.29,12244.0,1.36
0,심텍홀딩스,036710,2265.0,N/A,-40.0,N/A,N/A,0.7,3214.0,0.44
0,아이엠,101390,821.0,N/A,-424.0,N/A,N/A,1.03,797.0,N/A
0,에스티아이,039440,18200.0,13.77,1322.0,N/A,N/A,1.65,10999.0,1.37
0,오리콤,010470,4385.0,10.27,427.0,N/A,N/A,0.63,6979.0,5.02
0,웹스,196700,2110.0,58.61,36.0,N/A,N/A,0.73,2889.0,N/A
0,이노와이즈,086250,1405.0,N/A,-774.0,N/A,N/A,1.5,934.0,N/A
0,이크레더블,092130,25150.0,20.89,1204.0,N/A,N/A,6.37,3947.0,2.94
0,제이에스티나,026040,2270.0,N/A,-2118.0,N/A,N/A,0.85,2670.0,N/A
0,컬러레이,900310,1600.0,3.7,433.0,N/A,N/A,0.51,3123.0,N/A
0,코닉글로리,094860,1975.0,N/A,-73.0,N/A,N/A,9.54,207.0,N/A
0,파트론,091700,10900.0,11.58,941.0,17.0,653.0,1.6,6833.0,3.21
0,하나머스트제6호스팩,307160,2090.0,122.94,17.0,N/A,N/A,1.15,1813.0,N/A
0,현대통신,039010,6950.0,7.85,885.0,N/A,N/A,0.72,9720.0,4.32
0,THE MIDONG,161570,1750.0,N/A,-182.0,N/A,N/A,0.81,2162.0,N/A
0,녹십자랩셀,144510,58200.0,N/A,-159.0,N/A,N/A,14.11,4126.0,0.04
0,대신밸런스제8호스팩,336570,2000.0,N/A,-69.0,N/A,N/A,1.06,1891.0,N/A
0,동일금속,109860,11350.0,6.69,1696.0,N/A,N/A,0.59,19120.0,2.47
0,디지탈옵틱,106520,659.0,N/A,-103.0,N/A,N/A,1.12,587.0,N/A
0,마크로젠,038290,37300.0,N/A,-1200.0,N/A,N/A,3.31,11269.0,N/A
