,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,DSR,155660,3930.0,7.08,555.0,N/A,N/A,0.4,9740.0,1.27
0,S&TC,100840,15250.0,4.98,3065.0,N/A,N/A,0.43,35168.0,5.25
0,고려아연,010130,452500.0,13.78,32829.0,15.0,30907.0,1.2,375789.0,3.09
0,대한해운,005880,16150.0,3.74,4319.0,5.0,3505.0,0.42,38345.0,N/A
0,삼성SDI,006400,486500.0,115.37,4217.0,70.0,6962.0,2.69,181084.0,0.21
0,상상인증권,001290,1020.0,N/A,-11.0,N/A,N/A,0.62,1638.0,N/A
0,영화금속,012280,2095.0,161.15,13.0,N/A,N/A,1.25,1672.0,N/A
0,제일약품,271980,55700.0,N/A,-484.0,N/A,N/A,4.71,11827.0,0.13
0,키다리스튜디오,020120,8770.0,43.85,200.0,N/A,N/A,6.91,1270.0,N/A
0,한라홀딩스,060980,29550.0,6.54,4518.0,10.0,3086.0,0.34,85879.0,6.77
0,현대건설,000720,34050.0,8.72,3907.0,9.0,3792.0,0.56,60551.0,1.76
0,호전실업,111110,8390.0,32.39,259.0,N/A,N/A,0.56,14962.0,2.98
0,JW홀딩스,096760,5610.0,N/A,-413.0,N/A,N/A,2.67,2101.0,1.56
0,남선알미늄,008350,5120.0,34.13,150.0,N/A,N/A,3.06,1671.0,N/A
0,대현,016090,1800.0,5.64,319.0,N/A,N/A,0.4,4445.0,5.56
0,미래에셋생명,085620,3275.0,6.06,540.0,N/A,N/A,0.22,14702.0,5.19
0,세방,004360,10000.0,41.67,240.0,N/A,N/A,0.27,36669.0,1.75
0,에이블씨엔씨,078520,8110.0,N/A,-707.0,N/A,N/A,0.89,9161.0,N/A
0,유유제약,000220,17900.0,24.39,734.0,N/A,N/A,1.43,12500.0,1.17
0,지엠비코리아,013870,4870.0,49.19,99.0,N/A,N/A,0.41,11888.0,0.62
0,큐로,015590,614.0,15.35,40.0,N/A,N/A,1.24,497.0,N/A
0,한국특수형강,007280,1515.0,N/A,-456.0,N/A,N/A,0.73,2083.0,N/A
0,현대코퍼레이션홀딩스,227840,10500.0,8.36,1256.0,N/A,N/A,0.5,20950.0,4.76
0,CJ,001040,81900.0,7.87,10408.0,7.0,11290.0,0.59,138931.0,2.26
0,SBS,034120,15550.0,31.22,498.0,33.0,471.0,0.49,31825.0,0.96
0,넥센타이어,002350,5290.0,5.16,1025.0,9.0,581.0,0.35,15295.0,1.99
0,덕성,004830,6150.0,61.5,100.0,N/A,N/A,1.48,4150.0,0.32
0,드림텍,192650,19200.0,55.33,347.0,N/A,N/A,5.27,3646.0,0.83
0,명문제약,017180,6550.0,N/A,-960.0,N/A,N/A,2.31,2831.0,N/A
0,삼성증권,016360,30900.0,9.51,3248.0,8.0,3999.0,0.57,53815.0,5.5
