CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
000020,동화약품,의약품 제조업,"27,931,470","27,931,470,000",29350.0,83.38,352.0,N/A,N/A,2.71,10848.0,0.41
000040,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",744.0,N/A,-761.0,N/A,N/A,1.91,390.0,N/A
000050,경방,종합 소매업,"27,415,270","13,707,635,000",11700.0,8.69,1346.0,N/A,N/A,0.42,28062.0,1.07
000080,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",44300.0,642.03,69.0,31.0,1431.0,3.03,14614.0,1.58
000100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",66800.0,32.41,2061.0,23.0,2902.0,2.41,27766.0,0.57
000120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",150500.0,48.69,3091.0,39.0,3896.0,0.9,166903.0,N/A
000150,두산,회사 본부 및 경영 컨설팅 서비스업,"16,523,835","123,738,105,000",44400.0,4.19,10600.0,N/A,N/A,0.55,80486.0,11.71
000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"69,751,600","36,000,000,000",1660.0,N/A,-119.0,N/A,N/A,0.21,8078.0,N/A
000210,대림산업,토목 건설업,"34,800,000","218,500,000,000",86300.0,5.18,16654.0,4.0,20274.0,0.55,157285.0,1.51
000220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",17400.0,23.71,734.0,N/A,N/A,1.39,12500.0,1.21
000230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",9150.0,N/A,-2762.0,N/A,N/A,0.78,11728.0,1.04
000270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",42250.0,11.86,3561.0,12.0,3562.0,0.59,71692.0,2.72
000300,대유플러스,통신 및 방송 장비 제조업,"114,588,434","57,294,217,000",618.0,2.63,235.0,N/A,N/A,0.8,768.0,N/A
000390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",5150.0,27.54,187.0,N/A,N/A,0.42,12385.0,2.43
000430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",3230.0,22.91,141.0,N/A,N/A,0.43,7551.0,3.56
000480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",73700.0,18.06,4081.0,N/A,N/A,0.42,176356.0,5.43
000490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",7180.0,33.71,213.0,N/A,N/A,0.66,10855.0,0.84
000500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",16750.0,12.39,1352.0,N/A,N/A,0.26,64821.0,3.58
000520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",21950.0,99.77,220.0,N/A,N/A,2.12,10361.0,0.68
000650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",61200.0,N/A,-1305.0,N/A,N/A,1.83,33382.0,8.17
000660,SK하이닉스,반도체 제조업,"728,002,365","3,657,652,050,000",80600.0,37.65,2141.0,14.0,5870.0,1.14,70513.0,1.24
000670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",583000.0,4.34,134345.0,N/A,N/A,0.3,1919580.0,1.72
000680,LS네트웍스,상품 종합 도매업,"78,803,016","394,015,080,000",2220.0,N/A,-1104.0,N/A,N/A,0.32,7004.0,N/A
000700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,"26,041,812","65,104,530,000",5570.0,23.21,240.0,N/A,N/A,0.61,9162.0,N/A
000720,현대건설,토목 건설업,"111,355,765","557,273,105,000",34100.0,8.73,3907.0,9.0,3792.0,0.56,60551.0,1.76
