,Theme name,Theme code
0,2차전지_소재(양극화물질등),141 
1,2차전지_완제품,140 
2,AMOLED_소재,571 
3,AMOLED_장비,570 
4,Cheap-Chic_저가실용품,830 
5,FPCB(연성회로기판),501 
6,LCD_부품,562 
7,LCD_소재,561 
8,LCD_장비,560 
9,LED,572 
10,LPG(액화석유가스),600 
11,PCB(인쇄회로기판),500 
12,SI(시스템통합),458 
13,SNS(Social Network Service),452 
14,U-헬스케어,353 
15,가구,250 
16,강관,170 
17,거푸집,202 
18,건강식품,319 
19,건설_국내주택,201 
20,건설_해외건설,200 
21,게임_모바일,471 
22,게임_온라인,470 
23,곡물가공품_설탕/밀가루/유지,312 
24,교육,270 
25,그린카_하이브리드카/전기차,245 
26,금형/몰드베이스,160 
27,기계_건설기계,210 
28,기계_공작기계,211 
29,네트워크/광통신,480 
30,도시가스,610 
31,라면,316 
32,로봇_지능형,213 
33,모바일솔루션,456 
34,무선충전기관련주,517 
35,미디어_디지털방송전환,281 
36,미디어_방송광고,280 
37,바이오_디젤/에탄올,130 
38,바이오_바이오시밀러/베터,360 
39,바이오_유전체분석,363 
40,바이오_줄기세포치료제,361 
41,바이오_진단/백신,362 
42,반도체_생산,550 
43,반도체_설계(fabless),551 
44,반도체_시스템반도체,557 
45,반도체_전공정소재,556 
46,반도체_전공정장비,555 
47,반도체_후공정,552 
48,반도체_후공정소재,554 
49,반도체_후공정장비,553 
50,방위산업,212 
51,배합사료,313 
52,백화점,290 
53,보안_인터넷,453 
54,보험_생명보험,420 
55,보험_손해보험,421 
56,부탄가스,611 
57,비철금속주,171 
58,빙과,315 
59,셋톱박스,530 
60,소프트웨어_자동차용,459 
61,수산물/수산가공품,310 
62,슈퍼박테리아,364 
63,스마트 그리드,810 
64,스마트폰_삼성전자관련주,515 
65,스마트폰_애플 관련주,516 
66,시멘트,203 
67,식자재유통,318 
68,신약개발/기술수출,370 
69,에니메이션,286 
70,엔젤산업,820 
71,엔지니어링 플라스틱,154 
72,여행,261 
73,온실가스배출저감,800 
74,우주항공,214 
75,운송_육상운송,232 
76,운송_항공,230 
77,운송_해운,231 
78,원자력_기자재,110 
79,원자력_설계시공,111 
80,유가공,314 
81,육계,311 
82,은행,400 
83,의료기기,351 
84,의료기기_안과,352 
85,의료기기_치아,350 
86,의복_OEM,256 
87,의복_아웃도어,255 
88,자동차_블랙박스관련주,242 
89,자동차_전장화 수혜,241 
90,자동차_차량경량화 수혜,240 
91,자동차_차량용 반도체,243 
92,자원개발 E&P,215 
93,전기자전거,262 
94,전자결제,454 
95,전자결제_B2B,455 
96,전자책_e-book,450 
97,제과스낵,317 
98,제지_골판지,180 
99,제지_기타,181 
100,조선_Eco선,223 
101,조선_LNG보냉재,220 
102,조선_해양플랜트,222 
103,조선_해양플랜트기자재,221 
104,주류,300 
105,중국_내수소비 확대,910 
106,증권,430 
107,창투,410 
108,카지노,260 
109,컨텐츠_메니지먼트,284 
110,컨텐츠_영상,282 
111,컨텐츠_음원,283 
112,컨텐츠_한류,285 
113,컴퓨터전화통합(CTI),451 
114,코스닥_라이징스타,920 
115,코스닥_히든챔피언,900 
116,클라우드 컴퓨팅,457 
117,타이어,244 
118,탄소섬유,153 
119,태블릿 PC,520 
120,태양광_발전/설치/운영,103 
121,태양광_부품/소재/장비,102 
122,태양광_잉곳/웨이퍼/셀/모듈,101 
123,태양광_폴리실리콘,100 
124,통신장비,481 
125,폐기물처리,850 
126,풍력_단조/기자재,121 
127,합금철,172 
128,합성고무,152 
129,합성섬유_원료,151 
130,합성수지,150 
131,홈쇼핑,291 
132,화력_발전기자재,120 
133,화장품,330 
134,환경산업,840 
135,휴대폰_RF부품,511 
136,휴대폰_베트남현지법인,518 
137,휴대폰_수동부품,510 
138,휴대폰_카메라,514 
139,휴대폰_케이스/기구물,513 
140,휴대폰_터치스크린,512 
141,희소금속,173 
