,번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
0,1,060310,3S,32902,특수 목적용 기계 제조업,"44,802,511","22,401,255,500",500,원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,1424
2,3,265520,AP시스템,32902,특수 목적용 기계 제조업,"14,480,227","7,240,113,500",500,원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,1424
3,4,211270,AP위성,32604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000",500,원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,1424
4,5,035760,CJ ENM,106002,텔레비전 방송업,"21,929,154","110,577,370,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,1424
5,6,051500,CJ프레시웨이,74603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,1424
6,7,058820,CMG제약,32102,의약품 제조업,"138,892,244","69,446,122,000",500,원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),1424
7,8,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",1424
8,9,065770,CS,32604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000",500,원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),1424
9,10,083660,CSA 코스믹,32004,기타 화학제품 제조업,"37,072,045","18,536,022,500",500,원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,1424
10,11,322780,DB금융스팩7호,116601,금융 지원 서비스업,"4,550,000","455,000,000",100,원(KRW),02-369-3974,서울특별시 영등포구 국제금융로8길 32 DB금융투자 ,1424
11,12,068790,DMS,32902,특수 목적용 기계 제조업,"23,062,487","11,531,243,500",500,원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),1424
12,13,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"18,219,383","9,109,691,500",500,원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,1424
13,14,245620,EDGC,137001,자연과학 및 공학 연구개발업,"38,565,361","3,856,536,100",100,원(KRW),0327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp",1424
14,15,037370,EG,74607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,1424
15,16,079190,EMW,32604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500",500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",1424
16,17,130500,GH신소재,31309,기타 섬유제품 제조업,"11,000,000","5,500,000,000",500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,1424
18,19,083450,GST,32902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500",500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,1424
19,20,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),1424
20,21,045890,GV,32804,전구 및 조명장치 제조업,"48,350,590","24,175,295,000",500,원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),1424
21,22,078150,HB테크놀러지,32902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000",500,원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,1424
22,23,036640,HRS,32002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000",500,원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,1424
23,24,299170,IBKS제10호스팩,116601,금융 지원 서비스업,"4,330,000","433,000,000",100,원(KRW),02-6915-5350,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 ,1424
24,25,335890,IBKS제11호스팩,116601,금융 지원 서비스업,"4,790,000","479,000,000",100,원(KRW),02-6915-5338,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩,1424
25,26,335870,IBKS제12호스팩,116601,금융 지원 서비스업,"3,120,000","312,000,000",100,원(KRW),02-6915-5573,서울특별시 영등포구 국제금융로6길 11 &nbsp,1424
26,27,351340,IBKS제13호스팩,116601,금융 지원 서비스업,"5,170,000","517,000,000",100,원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) ",1424
28,29,095340,ISC,32602,전자부품 제조업,"14,142,508","7,071,254,000",500,원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",1424
29,30,099520,ITX엠투엠,32605,영상 및 음향기기 제조업,"29,187,677","14,593,838,500",500,원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,1424
30,31,950170,JTC,74701,종합 소매업,"35,005,517",0,0,일본엔(JPY),+81-92-260-8364,"6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan ",1424
31,32,067290,JW신약,32102,의약품 제조업,"41,667,166","20,833,583,000",500,원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,1424
32,33,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"35,494,992","17,942,201,500",500,원(KRW),02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) ",1424
33,34,024840,KBI메탈,32402,1차 비철금속 제조업,"32,950,848","16,475,424,000",500,원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,1424
34,35,024120,KB오토시스,33003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000",500,원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,1424
35,36,021320,KCC건설,64101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,1424
36,37,036670,KCI,32004,기타 화학제품 제조업,"11,270,000","5,635,000,000",500,원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,1424
37,38,044180,KD,64101,건물 건설업,"78,353,304","39,176,652,000",500,원(KRW),070-5138-4366,경기도 안산시 단원구 광덕서로 102 406-3호,1424
38,39,151860,KG ETS,53802,폐기물 처리업,"36,000,000","20,051,860,000",500,원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),1424
