CODE,NAME,STOCK NO.,SECT.,CAPT.
3380,하림지주,"92,341,820",기타 금융업,"9,275,667,700"
7330,푸른저축은행,"15,082,800",은행 및 저축기관,"15,082,800,000"
14470,부방,"60,052,260",기타 금융업,"30,026,130,000"
16600,큐캐피탈,"167,901,923",기타 금융업,"83,950,961,500"
21880,메이슨캐피탈,"99,184,408",기타 금융업,"49,592,204,000"
23760,한국캐피탈,"315,609,576",기타 금융업,"157,804,788,000"
27360,아주IB투자,"118,714,050",기타 금융업,"59,357,025,000"
28080,휴맥스홀딩스,"12,577,506",기타 금융업,"6,288,753,000"
30530,원익홀딩스,"77,237,981",기타 금융업,"38,618,990,500"
34810,해성산업,"18,118,975",부동산 임대 및 공급업,"9,059,487,500"
41190,우리기술투자,"84,000,000",기타 금융업,"42,000,000,000"
42370,비츠로테크,"22,353,873",기타 금융업,"11,176,936,500"
54620,APS홀딩스,"20,394,221",기타 금융업,"10,197,110,500"
100790,미래에셋벤처투자,"46,000,823",기타 금융업,"46,500,823,000"
190650,코리아에셋투자증권,"6,388,000",기타 금융업,"31,940,000,000"
289080,SV인베스트먼트,"53,234,000",기타 금융업,"26,617,000,000"
293580,나우IB,"9,480,000",기타 금융업,"47,400,000,000"
307930,컴퍼니케이,"15,610,000",기타 금융업,"9,755,000,000"
347140,케이프이에스제4호,"3,009,000",기타 금융업,"300,900,000"
351320,IBKS제14호스팩,"4,330,000",기타 금융업,"433,000,000"
900070,글로벌에스엠,"53,743,968",기타 금융업,"26,871,984"
900080,에스앤씨엔진그룹,"123,759,593",기타 금융업,"641,928,600"
900110,이스트아시아홀딩스,"109,000,686",기타 금융업,"528,714,165"
900120,씨케이에이치,"110,404,457",기타 금융업,"5,520,223"
900250,크리스탈신소재,"67,783,852",기타 금융업,"33,891,926"
900260,로스웰,"141,781,250",기타 금융업,"43,617,265,221"
900270,헝셩그룹,"80,000,000",기타 금융업,"416,446,347"
900280,골든센츄리,"158,780,000",기타 금융업,"31,756,000"
900290,GRT,"67,375,000",기타 금융업,"770,089,223"
900300,오가닉티코스메틱,"56,925,000",기타 금융업,"346,362,612"
900310,컬러레이,"54,000,000",기타 금융업,"336,160,634"
900340,윙입푸드,"47,973,428",기타 금융업,"293,632,368"
