,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,동화약품,000020,28650.0,81.39,352.0,N/A,N/A,2.64,10848.0,0.42
1,KR모터스,000040,778.0,N/A,-761.0,N/A,N/A,1.99,390.0,N/A
2,경방,000050,11450.0,8.51,1346.0,N/A,N/A,0.41,28062.0,1.09
3,메리츠화재,000060,12650.0,4.36,2903.0,5.0,2305.0,0.57,22055.0,6.72
4,삼양홀딩스,000070,70500.0,17.85,3950.0,N/A,N/A,0.39,182326.0,2.84
5,삼양홀딩스우,000075,51700.0,13.09,3950.0,N/A,N/A,0.28,182326.0,3.96
6,하이트진로,000080,44700.0,647.83,69.0,31.0,1431.0,3.06,14614.0,1.57
7,하이트진로2우B,000087,23400.0,339.13,69.0,16.0,1431.0,1.6,14614.0,3.2
8,유한양행,000100,66300.0,32.17,2061.0,23.0,2858.0,2.39,27766.0,0.58
9,유한양행우,000105,73900.0,35.86,2061.0,26.0,2858.0,2.66,27766.0,0.56
10,CJ대한통운,000120,154000.0,49.82,3091.0,39.0,3933.0,0.92,166903.0,N/A
11,하이트진로홀딩스,000140,22050.0,1378.12,16.0,N/A,N/A,1.09,20223.0,1.59
12,하이트진로홀딩스우,000145,19200.0,1200.0,16.0,N/A,N/A,0.95,20223.0,2.08
13,두산,000150,45300.0,4.27,10600.0,-13.0,-3449.0,0.56,80486.0,11.48
14,두산우,000155,37900.0,3.58,10600.0,-11.0,-3449.0,0.47,80486.0,13.85
15,두산2우B,000157,76300.0,7.2,10600.0,-22.0,-3449.0,0.95,80486.0,6.82
16,성창기업지주,000180,1740.0,N/A,-119.0,N/A,N/A,0.22,8078.0,N/A
17,대림산업,000210,84700.0,5.09,16654.0,4.0,20274.0,0.54,157285.0,1.53
18,대림산업우,000215,39750.0,2.39,16654.0,2.0,20274.0,0.25,157285.0,3.4
19,유유제약,000220,18850.0,25.68,734.0,N/A,N/A,1.51,12500.0,1.11
