,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,CJ프레시웨이,051500,15800.0,N/A,-1039.0,-18.0,-893.0,1.05,15026.0,1.58
0,KB오토시스,024120,6500.0,8.17,796.0,N/A,N/A,0.73,8920.0,3.54
0,갤럭시아컴즈,094480,4995.0,21.81,229.0,N/A,N/A,2.08,2404.0,1.1
0,나노브릭,286750,19350.0,N/A,-183.0,N/A,N/A,6.38,3032.0,N/A
0,대유에이피,290120,6150.0,8.64,712.0,N/A,N/A,1.48,4151.0,3.25
0,디지틀조선,033130,3560.0,37.47,95.0,N/A,N/A,1.73,2055.0,0.84
0,메디톡스,086900,182100.0,163.32,1115.0,N/A,N/A,4.14,43957.0,0.43
0,바이넥스,053030,22350.0,81.27,275.0,N/A,N/A,4.3,5196.0,N/A
0,세종메디칼,258830,13400.0,28.63,468.0,N/A,N/A,1.92,6978.0,0.75
0,쌍용정보통신,010280,1240.0,1240.0,1.0,N/A,N/A,1.16,1071.0,N/A
0,아이원스,114810,8210.0,N/A,-239.0,N/A,N/A,0.85,9630.0,N/A
0,에스코넥,096630,1740.0,N/A,-251.0,N/A,N/A,1.18,1475.0,N/A
0,엠게임,058630,6190.0,14.1,439.0,N/A,N/A,2.85,2174.0,N/A
0,우리바이오,082850,1180.0,14.05,84.0,N/A,N/A,0.53,2215.0,N/A
0,유니테크노,241690,10900.0,22.61,482.0,N/A,N/A,1.88,5785.0,N/A
0,이엠넷,123570,4340.0,13.87,313.0,N/A,N/A,1.63,2659.0,0.69
0,제우스,079370,14500.0,32.22,450.0,N/A,N/A,0.68,21436.0,1.38
0,지엔씨에너지,119850,6580.0,24.01,274.0,N/A,N/A,1.3,5072.0,0.76
0,코스온,069110,4690.0,N/A,-448.0,N/A,N/A,1.02,4609.0,N/A
0,티앤알바이오팹,246710,14650.0,N/A,-741.0,N/A,N/A,5.26,2787.0,N/A
0,피델릭스,032580,1410.0,N/A,-55.0,N/A,N/A,1.02,1376.0,N/A
0,한일화학,007770,9810.0,23.81,412.0,N/A,N/A,0.37,26580.0,1.53
0,CS,065770,2535.0,N/A,-20.0,N/A,N/A,2.23,1135.0,N/A
0,SCI평가정보,036120,5370.0,31.4,171.0,N/A,N/A,8.85,607.0,1.28
0,나노엔텍,039860,11500.0,42.28,272.0,N/A,N/A,7.22,1593.0,N/A
0,뉴파워프라즈마,144960,6010.0,25.68,234.0,N/A,N/A,1.73,3468.0,N/A
0,디알텍,214680,1670.0,52.19,32.0,N/A,N/A,2.13,783.0,N/A
0,머큐리,100590,10450.0,497.62,21.0,N/A,N/A,2.2,4760.0,N/A
